1,0.666,0.666,1,5.7,5.3,5.3,1,0,0,0
0.333,0.666,0.333,0,5,4.5,5,0,0,0,1
0.666,0.666,0.666,0.666,5.5,5,5,0,1,0,0
1,1,1,0.666,5,4.8,4.8,0,1,0,0
0.666,0.666,0.666,0.333,4.2,4.8,4.5,0,0,1,0
0.333,0.666,0.666,0.333,5,4.5,5,0,0,1,0
1,1,1,1,5,4.3,4,0,1,0,0
1,0.666,0.666,0.333,4.5,4,4,0,0,1,0
0.666,0.666,0.333,0.333,4.5,4.2,4.7,0,0,1,0
0.333,0.333,0.333,0.333,4.7,4.7,4.5,0,0,1,0
1,1,1,0.666,4.3,4.3,4.5,0,0,1,0
1,1,0.666,1,5.3,5,4.8,0,1,0,0
0.333,1,0.333,0.333,4.5,4.2,4.7,0,0,1,0
1,0.666,1,0.666,4,4.5,4,0,0,1,0
1,1,0.666,0.666,4.5,4,4.2,0,1,0,0
0.666,1,0.666,0.666,4.7,4.7,4.5,0,1,0,0
0.666,0.666,0.666,0.333,5,4.5,4.5,0,1,0,0
0.666,0.666,0.666,0.333,4.8,4.5,4.6,0,0,1,0
0.666,0.333,1,0.666,5.2,4.2,4.7,0,1,0,0
1,1,1,0.666,4.9,5,4.4,0,1,0,0
0.666,0.333,0.666,0.333,4.7,4,4.2,0,0,1,0
0.666,1,0.666,0.333,4.8,4,4.5,0,0,1,0
0.666,0.666,1,0.666,5,4.8,4.5,0,1,0,0
0.666,1,0.666,0.333,4.3,4.5,4.2,0,0,1,0
0.666,1,0.666,0.333,4.4,5,4.6,0,0,1,0
0.333,0.333,0.333,0.333,5.2,5,4.7,0,0,1,0
0.666,1,0.666,0.666,4.8,5,5,0,1,0,0
0.666,1,0.666,0.333,4.3,4.8,4.5,0,1,0,0
0.666,1,0.666,0.666,4.8,3.9,5,0,1,0,0
0.333,0.333,0.333,0,4.2,4.3,4.3,0,0,0,1
1,1,1,1,5.2,5,4.8,1,0,0,0
1,1,0.666,0.333,4.5,4.8,3.8,0,0,1,0
0.666,0.666,0.333,0.333,5.3,5.5,4.8,0,0,1,0
0.333,0.333,0,0,3.5,5,4.5,0,0,0,1
0.666,0.666,0.666,0.666,5,4.8,4.5,0,1,0,0
0.666,1,0.666,0.666,4.8,5.5,4.8,0,1,0,0
1,0.666,1,0.666,5,4.6,5.3,0,1,0,0
0.666,0.666,0.666,0.666,5,5.5,5,0,1,0,0
0.666,0.666,0.666,0.666,5,5,5,0,1,0,0
1,1,1,0.333,4,4,4,0,0,1,0
1,1,0.666,0.666,5,4.5,4.5,0,1,0,0
1,1,1,0.666,5.5,5.5,5.5,1,0,0,0
1,1,1,1,6,4,5,1,0,0,0
1,1,1,1,5,4.5,5,1,0,0,0
1,1,1,0.666,4.5,5.5,4,0,1,0,0
1,1,1,0.666,4.5,4,4.5,0,0,1,0
0.666,1,0.666,1,5,4.5,5,1,0,0,0
0.666,0.666,0.666,0.666,5,5,4.5,0,1,0,0
1,0.666,0.666,0.666,4.5,5,5,0,1,0,0
0.666,0.666,0.666,0.333,5,5,4.5,0,0,1,0
1,0.666,1,0.666,5,6,4.5,0,1,0,0
1,1,1,1,5.5,5,5.5,1,0,0,0
0.666,0.666,0.666,0.666,5,4.5,5,0,1,0,0
1,1,1,0.333,4.5,5.5,3.5,0,0,1,0
1,1,0.666,0.666,5.5,4.5,5,0,0,1,0
0.666,1,0.666,0.666,5.5,4,4.5,0,0,1,0
0.666,0.666,0.666,0.666,5,5.5,5,0,1,0,0
0.666,0.666,0.666,0,4,3.5,4,0,0,0,1
0.666,1,1,0.666,5.5,4,4,0,0,1,0
0.666,1,0.666,0.666,5.5,5.5,5,0,1,0,0
0.666,0.666,0.666,0.333,5,4,4,0,0,1,0
1,0.666,1,0.666,5,5,5,0,1,0,0
1,0.666,1,1,5.5,5.5,5,1,0,0,0
0.666,1,0.666,0.666,5.5,4.9,4.8,0,1,0,0
1,1,0.666,0.666,4.5,4.5,4,0,0,1,0
0.666,0.666,0.666,0.666,5,4.5,4.5,0,1,0,0
0.666,0.666,0.666,0.333,5,5,5,0,0,1,0
1,1,1,0.666,4.5,5,4.5,0,1,0,0
0.666,0.666,0.666,0.666,5,5.5,5,0,1,0,0
0.666,0.666,0.666,0.666,5,5,4.5,0,1,0,0
1,1,1,1,5.5,5.5,5.5,1,0,0,0
1,1,1,0.666,5.6,4.8,5.63,0,1,0,0
1,1,1,1,5.5,5,4.9,1,0,0,0
0.666,1,0.666,0.666,5,5.5,4.5,0,0,1,0
0.666,1,0.666,0.333,5,4.5,4,0,0,1,0
1,1,1,0.666,5,4,4,0,0,1,0
1,0.666,0.666,0.666,5.5,5.5,5,0,1,0,0
0.666,1,0.666,0.333,4,5,4.5,0,0,1,0
1,1,1,1,6,5.5,5,1,0,0,0
0.666,1,0.666,0.333,6,5,4,0,0,1,0
1,1,0.666,0.666,5,4.5,4.5,0,1,0,0
0.666,0.666,0.666,0.333,4,4.5,5,0,1,0,0
0.666,0.666,0.666,0.666,5.5,5,5,0,1,0,0
1,1,1,0.333,4.5,3.5,4.5,0,0,1,0
1,1,1,0.666,5.1,4.5,4.8,0,1,0,0
1,0.666,0.666,0.666,5,5,5,0,0,1,0
0.666,0.333,0.666,0.666,5.5,5,5.4,0,1,0,0
1,0.666,0.666,0.333,4,4.5,4,0,0,1,0
0.666,0.666,0.666,0.666,5,4.5,4,0,0,1,0
1,1,1,0.666,5.5,5.3,5,1,0,0,0
0.666,0.333,0.666,0.333,5,4.5,4.5,0,0,1,0
1,1,1,0.666,5.1,4.5,4.6,0,1,0,0
1,1,1,0.666,6,4.5,5,0,1,0,0
1,1,1,1,5.2,4.4,5,0,1,0,0
0.666,0.666,1,1,5.8,5.5,5.5,1,0,0,0
0.666,0.666,1,0.666,5.8,4.6,4.5,0,1,0,0
1,1,0.666,0.666,5.5,4,4,0,1,0,0
1,0.666,1,0.666,5,4.9,4.8,0,1,0,0
1,1,1,0.333,4.3,3.8,4.3,0,0,1,0
0.666,0.666,0.666,0.666,5,5.5,4.5,0,1,0,0
1,1,1,0.666,5.5,4.1,4.4,0,1,0,0
0.666,0.666,0.666,0.666,4.8,4.8,5.2,0,1,0,0
1,1,1,1,5.2,5,5.4,1,0,0,0
0.666,1,0.666,0.666,4.9,5,4.5,0,1,0,0
0.666,0.333,0.333,0.333,4.8,4.9,4.8,0,0,1,0
1,0.333,1,0.666,5.5,4.1,4.5,0,1,0,0
0.666,0.666,0.666,0.666,5,5,5,0,0,1,0
1,0.666,0.666,0.666,5,5.5,5,0,1,0,0
0.666,0.666,0.666,0.666,5,5.5,5.5,0,1,0,0
1,0.666,1,0.666,5,5.5,5,0,1,0,0
0.333,0.333,0.666,0.333,5.5,5,4.5,0,0,1,0
1,1,1,0.666,4.7,5.3,4.6,0,1,0,0
0.666,0.666,0.666,0.666,5.5,5.5,4.5,0,1,0,0
1,1,0.666,1,5.5,5,5,1,0,0,0
0.666,0.666,0.666,0.666,5.5,4.8,4.8,0,1,0,0
1,1,0.666,1,5,5,5.5,1,0,0,0
1,1,1,0.333,4.8,4.3,4.3,0,0,1,0
1,1,1,1,5,5,5,1,0,0,0
0.666,0.666,0.666,0.666,5,5,5,0,1,0,0
0.666,1,0.666,0.666,4.5,4.3,4.6,0,1,0,0
0.666,0.666,0.666,0.666,5,5,4.5,0,1,0,0
0.666,0.666,1,1,5.5,5.5,5,1,0,0,0
0.666,0.666,1,0.666,4.5,4.5,4.5,0,0,1,0
0.333,0.333,0.666,0.333,4.5,4.5,4.5,0,0,1,0
0.666,1,0.666,0.666,5,5,5,0,1,0,0
0.666,1,0.666,0.666,5,5.4,5.3,0,1,0,0
1,0.666,0.666,1,4.5,5,5,0,1,0,0
1,1,1,0.666,4.9,4.4,4.4,0,1,0,0
1,1,1,0.666,4.9,5.3,4.6,0,1,0,0
0.666,1,0.666,0.666,5,5.5,5,1,0,0,0
1,1,1,0.666,5,4.5,5,1,0,0,0
0.666,0.666,0.333,0.333,4,4.6,4.4,0,0,1,0
0.666,1,0.666,0.666,5.5,5,5,0,1,0,0
1,0.666,1,1,6,5.5,5.5,1,0,0,0
1,0.666,0.666,1,6,5,5,0,1,0,0
0.666,1,0.666,1,5,5.5,5.5,1,0,0,0
0.666,1,0.666,0.666,4.6,5.1,5,0,1,0,0
0.666,1,1,0.333,4.4,5,4,0,0,1,0
0.666,1,0.666,0.333,5,3.5,4,0,0,0,1
0.666,0.666,0.666,0.666,5,4.5,4,0,0,1,0
0.666,0.666,0.666,0.666,5,4.5,4.5,0,0,1,0
0.333,0.666,0.333,0,4,4.8,3.7,0,0,0,1
1,0.666,0.666,0.666,4.5,5,4,0,0,1,0
0.666,0.666,0.666,0,4,4.8,3.7,0,0,0,1
0.333,0.333,0.666,0,4,4.5,4,0,0,0,1
0.666,1,0.666,0.333,4.5,5,4.5,0,0,1,0
0.666,1,0.666,0.666,4.6,4.7,5,0,1,0,0
1,0.666,0.666,0.666,5,5,4,0,1,0,0
0.666,0.666,0.666,0.666,5,4.5,4,0,1,0,0
0.666,1,0.666,0.666,5,4.8,5,0,1,0,0
0.333,0.666,0.333,0.333,5.2,4.7,4.7,0,0,1,0
0.666,0.666,0.666,0.666,4,5,4.5,0,0,1,0
0.666,1,1,0.333,4.5,5,4.5,0,0,1,0
1,1,1,1,5,5,4.8,1,0,0,0
0.666,0.333,0.666,0.333,5,5,4.5,0,0,1,0
1,1,1,1,5.4,5.4,5.4,1,0,0,0
0.666,0.333,0.666,0.666,5,5.5,5,0,1,0,0
1,1,1,0.666,5,4.5,4.5,0,1,0,0
0.666,0.666,0.333,0.333,5,5,4.5,0,0,1,0
1,0.666,1,1,5.5,5,5,1,0,0,0
1,0.666,0.666,0.666,5.5,4.5,5,0,1,0,0
0.666,0.333,0.666,0.333,4.5,4.5,4,0,0,1,0
0.666,0.666,0.333,0.666,5,4.5,4.5,0,1,0,0
0.666,0.666,0.666,0.333,4,5.5,5,0,0,1,0
0.666,1,1,0.333,5.5,4.5,5,0,0,1,0
1,0.666,1,0.666,4.5,4.2,4.8,0,1,0,0
1,0.666,1,1,5,5.5,5,1,0,0,0
0.333,1,0.333,0,5.5,4.5,5,0,0,0,1
0.666,0.666,0.333,0.666,5,4,4.5,0,1,0,0
0.666,0.666,1,0.333,4.5,4.5,4.5,0,0,1,0
0.666,1,0.333,0.666,5,5.5,5,0,0,1,0
1,1,1,1,5.5,5,5.5,1,0,0,0
1,1,0.666,1,4.5,4.5,5.5,0,1,0,0
0.333,0.333,0.333,0.333,4.4,4.9,4.9,0,0,1,0
0.666,0.666,0.666,0.333,4,5.5,4.5,0,0,0,1
0.666,1,0.666,0.666,5.85,5.4,5.4,0,1,0,0
1,1,0.666,0.666,4.5,5,4,0,0,1,0
0.666,0.333,1,1,5.1,4.4,5,1,0,0,0
1,1,1,1,6,5.5,5.5,1,0,0,0
0.666,0.666,0.666,0.666,5,4.5,4.5,0,1,0,0
1,0.666,1,1,6,5,5,1,0,0,0
0.666,1,0.666,0.666,5,5.5,5,0,1,0,0
1,0.666,0.666,0.333,3.5,5,4,0,0,1,0
0.666,0.666,1,0.333,4.5,4.5,4,0,1,0,0
0.666,0.666,0.666,0,3.5,4.5,3.5,0,0,0,1
0.666,0.666,0.666,0.666,5,4.5,4.5,0,1,0,0
0.666,0.666,0.666,0.666,5,4.5,4.5,0,1,0,0
0.333,0.666,0.333,0.333,5,5.2,4.7,0,0,1,0
0.666,0.666,0.666,0.333,4.9,4.6,4.7,0,0,1,0
0.666,0.666,1,0.666,4.5,4.5,4.5,0,0,1,0
0.666,0.666,0.666,1,5.5,4.5,5,1,0,0,0
0.666,1,0.666,0.666,5,5,5,0,1,0,0
1,1,0.666,1,5,4.5,5,0,1,0,0
1,1,0.666,1,5,6,5.5,1,0,0,0
1,0.666,0.666,1,4.5,4,4.5,0,1,0,0
0.666,0.666,0.666,0.333,4,5.5,4.5,0,0,1,0
1,1,1,0.666,4.5,4,5,0,1,0,0
1,1,0.666,0.666,5,5,4.5,0,1,0,0
1,1,0.666,1,6,5.5,5,0,1,0,0
1,0.666,1,1,5,5,4.5,0,1,0,0
0.666,0.333,0.666,0.666,5.5,5.5,5.5,0,1,0,0
0.666,0.666,0.666,0.666,5.5,5,4.5,0,1,0,0
0.333,0.333,0.666,0,4.5,4.5,4,0,0,0,1
0.666,0.666,0.666,0.666,5,5,4,0,1,0,0
1,1,0.666,1,5,5.5,5,0,1,0,0
0.666,0.666,0.666,0.333,4,4.5,4.5,0,0,1,0
0.666,0.666,0.666,0.333,4,5,4,0,0,1,0
1,1,0.666,1,5.5,6,5.5,1,0,0,0
1,0.666,0.666,1,5.5,5,5,1,0,0,0
1,0.666,0.666,0.666,5,5,5,0,1,0,0
0.666,0.666,0.666,0.666,4,5,4.5,0,0,1,0
0.666,0.666,0.666,0.666,5,5,5,0,1,0,0
0.666,0.666,0.666,0.666,4.5,4.5,4.5,0,0,1,0
1,1,0.666,0.666,4.5,4.5,4.5,0,1,0,0
1,1,0.666,1,5.5,5,5,0,1,0,0
1,0.666,1,0.666,5,4.5,4,0,1,0,0
0.666,1,0.666,0,3.5,4,4,0,0,0,1
1,1,0.666,0.666,5,5,4.5,0,1,0,0
1,1,1,1,5,5,5,1,0,0,0
0.666,0.666,0.666,0.666,5,6,5,0,1,0,0
0.666,1,0.333,0.333,5,4,4.5,0,0,1,0
0.666,0.333,0.666,0.666,5.5,5,5,0,1,0,0
1,0.666,1,1,5.5,5.5,5.5,1,0,0,0
0.666,0.666,0.666,0.666,4.5,4.5,5,0,1,0,0
0.666,0.666,0.666,0.666,4.5,5,4.5,0,1,0,0
0.666,1,0.666,0.666,4.5,5.5,4.5,0,1,0,0
1,1,1,1,5.5,5.5,4.5,0,1,0,0
1,1,1,0.666,5,4,5,0,0,0,1
0.666,0.666,0.666,0.333,4.5,4.5,4.5,0,0,1,0
0.333,0.333,0.333,0.333,4.5,4,4,0,0,0,1
1,1,0.666,0.666,4.5,4.5,4.5,0,1,0,0
1,1,0.666,0.666,5,5,4,0,1,0,0
0.666,1,0.666,0.666,5,5,5,0,1,0,0
1,1,1,0.666,5,5.5,4.5,0,0,1,0
0.666,0.666,1,0.666,4.5,5,5.5,1,0,0,0
0.666,1,0.666,0.666,4,5,4,0,0,1,0
0.666,0.666,0.333,0.666,5,3.5,4.5,0,0,1,0
1,0.666,1,1,5,5.5,5,1,0,0,0
1,0.666,1,0.666,4.5,4.5,4.5,0,1,0,0
0.666,0.666,0.333,0.666,4.5,4.5,5,0,0,1,0
1,1,1,0.666,5,4.5,4.5,0,1,0,0
0.666,0.333,0.666,0.333,5,5,4.5,0,1,0,0
1,1,1,0.333,3,4.5,4,0,0,1,0
0.666,0.666,0.666,0.333,4,4.5,4.5,0,0,1,0
1,1,0.666,0.666,5,5,5,0,1,0,0
0.666,0.333,1,0.333,6,5,5,0,1,0,0
1,0.666,0.666,1,5.5,5.5,5.5,1,0,0,0
0.666,0.666,0.666,0.333,5,4.5,4.5,0,0,1,0
1,1,1,0.666,5,5,4.5,1,0,0,0
1,0.666,1,1,4.5,5.5,5,0,1,0,0
1,1,0.666,0.666,5,5,5,0,1,0,0
0.666,0.666,0.666,0.333,4.5,5,4.5,0,0,1,0
0.666,0.333,0.666,0.333,5,5,4.5,0,0,1,0
1,0.666,1,1,5.5,5.5,5.5,1,0,0,0
0.666,0.666,0.666,0.333,5,5,4.5,0,0,1,0
1,1,1,1,6,5.5,5.5,1,0,0,0
0.666,0.666,1,1,5.5,5,5.5,1,0,0,0
0.666,0.666,1,1,5,5.5,5,1,0,0,0
1,1,1,0.666,5.5,5,4.5,1,0,0,0
0.666,0.666,0.666,0.333,4.5,4.5,4,0,0,1,0
1,1,1,1,6,5.5,5,1,0,0,0
0.666,1,0.666,1,5,5,5.5,1,0,0,0
0.666,0.666,0.333,0,4,5.5,4.5,0,0,1,0
1,1,0.666,0.666,4.5,5,5,0,1,0,0
0.666,0.666,0.666,0.333,4,5,4,0,0,1,0
0.666,0.666,0.666,0.666,5,4.5,4.5,0,1,0,0
1,0.666,0.666,0.666,4.5,4.5,4.5,0,0,1,0
0.666,0.333,0.666,0.333,5.5,5,5,0,0,1,0
1,1,1,1,5.5,5,5,1,0,0,0
0.666,1,0.666,0.666,5.5,5.5,5,0,1,0,0
0.333,0.333,0.333,0.333,5,4,4.5,0,0,1,0
0.666,0.333,0.333,0.333,4.5,4.5,4,0,0,1,0
0.666,1,0.333,0.333,3.5,4.5,4.5,0,0,1,0
1,1,0.666,1,5.5,5.5,6,1,0,0,0
0.666,0.666,0.666,0.333,4,4.5,4.5,0,0,1,0
1,1,1,0.666,4.5,5,4.5,0,0,1,0
1,1,1,1,5.5,4.5,4.5,0,1,0,0
1,1,1,0.666,3.5,4.5,4.5,0,1,0,0
0.666,0.666,0.666,0.666,4.5,5,5.5,0,1,0,0
0.666,0.666,0.666,0.666,4.5,5.5,5,0,1,0,0
0.666,1,0.666,0.333,6,4.5,5.5,0,0,1,0
0.666,0.666,0.666,0.666,5,5.5,5,0,1,0,0
0.666,1,0.666,0.666,5,5.5,5,0,0,1,0
1,1,1,0.666,5,5,4.5,0,1,0,0
0.666,0.666,1,1,6,5,5.5,1,0,0,0
1,1,0.666,1,6,5.5,6,1,0,0,0
0.666,0.666,0.666,0.666,5.5,4.5,4.5,0,0,1,0
1,1,0.666,1,5.5,4.5,5,0,1,0,0
0.666,1,0.666,0.333,5.5,5,5,0,0,1,0
0.666,0.333,1,0.333,4.5,4.5,4,0,0,1,0
0.333,0.666,0.666,0,4,5,4,0,0,0,1
1,0.666,0.666,0.666,5,4.5,4,0,1,0,0
1,0.666,1,0.666,4.5,4.5,5.5,0,0,1,0
1,0.666,1,0.666,5,5,4.5,0,0,1,0